cluster	priority	recommended_action	volume_band	phrase	frequency_msk_spb	seed	source
ADJACENT_CASE	P2	separate_adjacent_or_rsya	low	ии для протокола совещания	46	ии протокол совещания	wordstat_extra
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	автоматизация бизнеса с помощью ии	45	автоматизация бизнеса с помощью ии	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	автоматизация и цифровизация бизнес процессов	45	автоматизация бизнес процессов	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	платформы автоматизации бизнес процессов	45	автоматизация бизнес процессов	wordstat_existing
ADJACENT_CASE	P2	separate_adjacent_or_rsya	low	ии промпт инжиниринг	45	промпт инжиниринг	wordstat_existing
INFO	P3	content_or_cpc_minus	low	требования к обезличиванию персональных данных	45	обезличивание данных	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	специалист по внедрению систем искусственного интеллекта	44	внедрение искусственного интеллекта	wordstat_existing
NEGATIVE	P0	minus_candidate	low	внедрение искусственного интеллекта и машинного обучения	44	внедрение искусственного интеллекта	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	нейросети для бизнес процессов	44	нейросети для бизнеса	wordstat_existing
AI_SYSTEMS	P1	search_keyword_cluster	low	промты для бизнеса chatgpt	44	chatgpt для бизнеса	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	автоматизация и цифровая трансформация бизнеса	44	цифровая трансформация бизнеса	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	современные разработки искусственного интеллекта	44	разработка искусственного интеллекта	wordstat_existing
SECURITY_PRIVACY	P1	keyword_and_ad_message	low	обезличивание блокирование уничтожение персональных данных	44	обезличивание данных	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	внедрение ai в бизнес	44	ai внедрение в бизнес	wordstat_extra
HOT_SERVICE	P1	search_keyword_core	low	внедрение ии в промышленность	43	внедрение ии в промышленность	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	ии для бизнеса и работы	43	ии для бизнеса	wordstat_existing
HOT_SERVICE	P1	search_keyword_core	low	внедрение ии под ключ	43	ии под ключ	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	автоматизация моделирования бизнес процессов	43	автоматизация бизнес процессов	wordstat_existing
ADJACENT_CASE	P2	separate_adjacent_or_rsya	low	внедрение автоматизации документооборота	43	автоматизация документооборота	wordstat_existing
AI_SYSTEMS	P1	search_keyword_cluster	low	мультиагентные системы искусственного интеллекта	42	мультиагентные системы	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	разработка программы искусственного интеллекта	42	разработка искусственного интеллекта	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	технологии разработки систем искусственного интеллекта	42	разработка искусственного интеллекта	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	приложение разработки искусственного интеллекта	42	разработка искусственного интеллекта	wordstat_existing
ADJACENT_CASE	P2	separate_adjacent_or_rsya	low	1с документооборот автоматизация	42	автоматизация документооборота	wordstat_existing
INFO	P3	content_or_cpc_minus	low	в результате обезличивания персональных данных	42	обезличивание данных	wordstat_existing
INFO	P3	content_or_cpc_minus	low	обезличивание персональных данных действия	42	обезличивание данных	wordstat_existing
INFO	P3	content_or_cpc_minus	low	обезличивание персональных данных закон	42	обезличивание данных	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	проектирование систем ии	42	проектирование ии систем	wordstat_existing
AI_SYSTEMS	P1	search_keyword_cluster	low	внедрение ai агентов	42	ai агент	wordstat_extra
OTHER_REVIEW	P3	manual_review	low	стратегия внедрения искусственного интеллекта	41	внедрение искусственного интеллекта	wordstat_existing
NEGATIVE	P0	minus_candidate	low	разработка и обучение систем искусственного интеллекта	41	разработка искусственного интеллекта	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	системы автоматизации бизнес процессов предприятия	41	автоматизация бизнес процессов	wordstat_existing
INFO	P3	content_or_cpc_minus	low	что такое автоматизация бизнес процессов rpa	41	автоматизация бизнес процессов	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	нейросеть для оформления документов	41	нейросеть для документов	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	проект цифровой сотрудник	41	цифровой сотрудник	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	электронный цифровой сотрудник	41	цифровой сотрудник	wordstat_existing
INFO	P3	content_or_cpc_minus	low	ai агенты 2026	41	ai агент	wordstat_extra
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	автоматизация ии сотрудник	41	ии сотрудник	wordstat_extra
OTHER_REVIEW	P3	manual_review	low	ai нативная трансформация процесса создания программного обеспечения	41	ai трансформация	wordstat_extra
OTHER_REVIEW	P3	manual_review	low	ии для бизнес аналитика	40	ии для бизнеса	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	ии для бизнес аналитики	40	ии для бизнеса	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	инструменты ии для бизнеса	40	ии для бизнеса	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	ии автоматизация для бизнеса	40	ии для бизнеса	wordstat_existing
INFO	P3	content_or_cpc_minus	low	этапы цифровой трансформации бизнеса	40	цифровая трансформация бизнеса	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	цифровой трансформации бизнеса создать	40	цифровая трансформация бизнеса	wordstat_existing
SECURITY_PRIVACY	P1	keyword_and_ad_message	low	цифровая трансформация бизнеса безопасность	40	цифровая трансформация бизнеса	wordstat_existing
INFO	P3	content_or_cpc_minus	low	обезличивание персональных данных роскомнадзор	40	обезличивание данных	wordstat_existing
ADJACENT_CASE	P2	separate_adjacent_or_rsya	low	разработка чат бота приложение	40	разработка чат ботов	wordstat_existing
INFO	P3	content_or_cpc_minus	low	цели автоматизации компании	40	автоматизация компании	wordstat_existing
INFO	P3	content_or_cpc_minus	low	использование ai агентов	40	ai агент	wordstat_extra
AI_SYSTEMS	P1	search_keyword_cluster	low	python ai агент	40	ai агент	wordstat_extra
AI_SYSTEMS	P1	search_keyword_cluster	low	мультиагентная система ии	39	мультиагентные системы	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	направления автоматизации бизнес процессов	39	автоматизация бизнес процессов	wordstat_existing
ADJACENT_CASE	P2	separate_adjacent_or_rsya	low	технология автоматизации документооборота	39	автоматизация документооборота	wordstat_existing
ADJACENT_CASE	P2	separate_adjacent_or_rsya	low	промпт инжиниринг ответы	39	промпт инжиниринг	wordstat_existing
ADJACENT_CASE	P2	separate_adjacent_or_rsya	low	база знаний чат бота	39	база знаний чат бот	wordstat_extra
OTHER_REVIEW	P3	manual_review	low	результаты внедрения искусственного интеллекта	38	внедрение искусственного интеллекта	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	искусственный интеллект для бизнес процессов	38	искусственный интеллект для бизнеса	wordstat_existing
NEGATIVE	P0	minus_candidate	low	нейросети для бизнеса обучение	38	нейросети для бизнеса	wordstat_existing
INFO	P3	content_or_cpc_minus	low	методы цифровой трансформации бизнеса	38	цифровая трансформация бизнеса	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	цифровая трансформация бизнес процессов организации	38	цифровая трансформация бизнеса	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	автоматизация основных бизнес процессов	38	автоматизация бизнес процессов	wordstat_existing
NEGATIVE	P0	minus_candidate	low	промпт инжиниринг обучение	38	промпт инжиниринг	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	нейросеть для генерации документов	38	нейросеть для документов	wordstat_existing
HOT_SERVICE	P1	search_keyword_core	low	внедрение искусственного интеллекта в производство	37	внедрение искусственного интеллекта	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	ии бот для бизнеса	37	ии для бизнеса	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	ии для малого бизнеса	37	ии для бизнеса	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	искусственный интеллект и цифровая трансформация бизнеса	37	цифровая трансформация бизнеса	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	преимущества цифровой трансформации бизнеса	37	цифровая трансформация бизнеса	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	трансформация бизнес моделей цифровой экономики	37	цифровая трансформация бизнеса	wordstat_existing
AI_SYSTEMS	P1	search_keyword_cluster	low	агент в мультиагентной системе	37	мультиагентные системы	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	разработка создания нейросеть под ключ	37	разработка нейросетей	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	автоматизация бизнес процессов производства	37	автоматизация бизнес процессов	wordstat_existing
ADJACENT_CASE	P2	separate_adjacent_or_rsya	low	автоматизация процессов электронного документооборота	37	автоматизация документооборота	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	цифровой ассистент ии	37	цифровой ассистент	wordstat_extra
INDUSTRY_OTHER	P2	separate_vertical_test	low	внедрение технологий искусственного интеллекта в здравоохранении	36	внедрение искусственного интеллекта	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	нейросети для работы и бизнеса	36	нейросети для бизнеса	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	цифровая трансформация бизнес информатики	36	цифровая трансформация бизнеса	wordstat_existing
HOT_SERVICE	P1	search_keyword_core	low	проектирование и разработка искусственного интеллекта	36	разработка искусственного интеллекта	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	crm автоматизация бизнес процессов	36	автоматизация бизнес процессов	wordstat_existing
ADJACENT_CASE	P2	separate_adjacent_or_rsya	low	промпт инжиниринг работа	36	промпт инжиниринг	wordstat_existing
INFO	P3	content_or_cpc_minus	low	случаи обезличивания персональных данных	36	обезличивание данных	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	складская автоматизация компания	36	автоматизация компании	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	автоматизация деятельности компании	36	автоматизация компании	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	группа компаний автоматизация	36	автоматизация компании	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	цифровой офис сотрудника	36	цифровой сотрудник	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	национальный план внедрения искусственного интеллекта	35	внедрение искусственного интеллекта	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	искусственный интеллект для бизнеса внедрение	35	искусственный интеллект для бизнеса	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	нейросеть для бизнес презентации	35	нейросети для бизнеса	wordstat_existing
BRAND_COMPETITOR	P2	separate_competitor_or_audience	low	яндекс gpt для бизнеса	35	gpt для бизнеса	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	вайл цифровая трансформация бизнеса	35	цифровая трансформация бизнеса	wordstat_existing
INFO	P3	content_or_cpc_minus	low	методы обезличивания персональных данных роскомнадзор	35	обезличивание данных	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	нейросеть для написания документов	35	нейросеть для документов	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	нейросеть для редактирования документов	35	нейросеть для документов	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	лига цифровой экономики сотрудники	35	цифровой сотрудник	wordstat_existing
INFO	P3	content_or_cpc_minus	low	примеры цифровой трансформации бизнеса	34	цифровая трансформация бизнеса	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	цифровая трансформация малого и среднего бизнеса	34	цифровая трансформация бизнеса	wordstat_existing
NEGATIVE	P0	minus_candidate	low	промпт инжиниринг бесплатно	34	промпт инжиниринг	wordstat_existing
ADJACENT_CASE	P2	separate_adjacent_or_rsya	low	техника промпт инжиниринга	34	промпт инжиниринг	wordstat_existing
NEGATIVE	P0	minus_candidate	low	курс по промпт инжинирингу	34	промпт инжиниринг	wordstat_existing
SECURITY_PRIVACY	P1	keyword_and_ad_message	low	обезличивание блокирование удаление уничтожение персональных данных	34	обезличивание данных	wordstat_existing
INFO	P3	content_or_cpc_minus	low	цели обезличивания персональных данных	34	обезличивание данных	wordstat_existing
INFO	P3	content_or_cpc_minus	low	основы разработки чат ботов	34	разработка чат ботов	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	платформа ии для бизнеса	33	ии для бизнеса	wordstat_existing
NEGATIVE	P0	minus_candidate	low	цифровая трансформация бизнеса обучение	33	цифровая трансформация бизнеса	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	цифровая трансформация бизнеса статья	33	цифровая трансформация бизнеса	wordstat_existing
NEGATIVE	P0	minus_candidate	low	разработка нейросетей обучение	33	разработка нейросетей	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	автоматизация внутренних бизнес процессов	33	автоматизация бизнес процессов	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	интеграция и автоматизация бизнес процессов	33	автоматизация бизнес процессов	wordstat_existing
INFO	P3	content_or_cpc_minus	low	методы обезличивания персональных данных 2025	33	обезличивание данных	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	цифровая подпись сотрудники	33	цифровой сотрудник	wordstat_existing
AI_SYSTEMS	P1	search_keyword_cluster	low	память ai агентов	33	ai агент	wordstat_extra
INFO	P3	content_or_cpc_minus	low	как работает ai агент	33	ai агент	wordstat_extra
NEGATIVE	P0	minus_candidate	low	курс по созданию ai агентов	33	ai агент	wordstat_extra
INFO	P3	content_or_cpc_minus	low	исследование цифровая трансформация бизнеса	32	цифровая трансформация бизнеса	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	цифровой трансформации бизнеса создать более	32	цифровая трансформация бизнеса	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	цифровой трансформации бизнеса создать более эффективные	32	цифровая трансформация бизнеса	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	разработка систем автоматизации бизнес процессов	32	автоматизация бизнес процессов	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	автоматизация бизнес процесса клиента	32	автоматизация бизнес процессов	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	нейросеть для юридических документов	32	нейросеть для документов	wordstat_existing
NEGATIVE	P0	minus_candidate	low	чат бот для бизнеса макс	32	чат бот для бизнеса	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	автоматизация россией компании	32	автоматизация компании	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	лига цифровой экономики отзывы сотрудников	32	цифровой сотрудник	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	цифровая лига отзывы сотрудников	32	цифровой сотрудник	wordstat_existing
BRAND_COMPETITOR	P2	separate_competitor_or_audience	low	https just ai com	32	just ai	wordstat_existing
INFO	P3	content_or_cpc_minus	low	разработчик ai агентов	32	ai агент	wordstat_extra
AI_SYSTEMS	P1	search_keyword_cluster	low	автономные ai агенты	32	ai агент	wordstat_extra
AI_SYSTEMS	P1	search_keyword_cluster	low	битрикс24 ai агенты	32	ai агент	wordstat_extra
OTHER_REVIEW	P3	manual_review	low	нейросотрудник	32	нейросотрудник	wordstat_extra
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	ai трансформация бизнеса	32	ai трансформация	wordstat_extra
INDUSTRY_OTHER	P2	separate_vertical_test	low	внедрение искусственного интеллекта в медицине	31	внедрение искусственного интеллекта	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	индекс внедрения искусственного интеллекта	31	внедрение искусственного интеллекта	wordstat_existing
HOT_SERVICE	P1	search_keyword_core	low	интеграция ии в бизнес	31	интеграция ии в бизнес	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	модели и технологии цифровой трансформации бизнеса	31	цифровая трансформация бизнеса	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	ai разработка искусственный интеллект	31	разработка искусственного интеллекта	wordstat_existing
AI_SYSTEMS	P1	search_keyword_cluster	low	разработка rag систем	31	rag система	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	комплексная автоматизация бизнес процессов	31	автоматизация бизнес процессов	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	ит автоматизация бизнес процессов	31	автоматизация бизнес процессов	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	варианты автоматизации бизнес процессов	31	автоматизация бизнес процессов	wordstat_existing
ADJACENT_CASE	P2	separate_adjacent_or_rsya	low	электронный документ автоматизация документооборота	31	автоматизация документооборота	wordstat_existing
INFO	P3	content_or_cpc_minus	low	как внедрить нейросеть	31	внедрить нейросеть	wordstat_existing
SECURITY_PRIVACY	P1	keyword_and_ad_message	low	уничтожение и обезличивание персональных данных	31	обезличивание данных	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	компания на рынке автоматизации	31	автоматизация компании	wordstat_existing
AI_SYSTEMS	P1	search_keyword_cluster	low	корпоративный chatgpt	31	корпоративный chatgpt	wordstat_existing
NEGATIVE	P0	minus_candidate	low	алиса ai агент исследовать	31	ai агент	wordstat_extra
NEGATIVE	P0	minus_candidate	low	создание ai агентов обучение	31	ai агент	wordstat_extra
INFO	P3	content_or_cpc_minus	low	примеры внедрения искусственного интеллекта	30	внедрение искусственного интеллекта	wordstat_existing
NEGATIVE	P0	minus_candidate	low	нейросеть для бизнеса бесплатно	30	нейросети для бизнеса	wordstat_existing
AI_SYSTEMS	P1	search_keyword_cluster	low	мультиагентные интеллектуальные системы	30	мультиагентные системы	wordstat_existing
AI_SYSTEMS	P1	search_keyword_cluster	low	создание rag системы	30	rag система	wordstat_existing
ADJACENT_CASE	P2	separate_adjacent_or_rsya	low	система автоматизации управления документооборотом	30	автоматизация документооборота	wordstat_existing
NEGATIVE	P0	minus_candidate	low	промпт инжиниринг скачать	30	промпт инжиниринг	wordstat_existing
INFO	P3	content_or_cpc_minus	low	персональные данные полученные в результате обезличивания	30	обезличивание данных	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	нейросеть для текстовых документов	30	нейросеть для документов	wordstat_existing
INFO	P3	content_or_cpc_minus	low	автоматизация компании пример	30	автоматизация компании	wordstat_existing
INFO	P3	content_or_cpc_minus	low	ai агенты какие есть	30	ai агент	wordstat_extra
OTHER_REVIEW	P3	manual_review	low	цифровой трансформации ai	30	ai трансформация	wordstat_extra
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	ии для бизнеса программа	29	ии для бизнеса	wordstat_existing
HOT_SERVICE	P1	search_keyword_core	low	разработка ии для бизнеса	29	ии для бизнеса	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	использование ии для бизнеса	29	ии для бизнеса	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	разработка создания искусственный интеллект под ключ	29	разработка искусственного интеллекта	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	автоматизация процесса бизнес планирования	29	автоматизация бизнес процессов	wordstat_existing
INDUSTRY_PRODUCTION	P2	search_keyword_industry	low	системы автоматизация производства компании	29	автоматизация компании	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	автоматизация процесса работы в компании	29	автоматизация компании	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	цифровой ассистент москва	29	цифровой ассистент	wordstat_extra
HOT_SERVICE	P1	search_keyword_core	low	внедрение искусственного интеллекта в системы автоматизации	28	внедрение искусственного интеллекта	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	нейросеть для бизнеса онлайн	28	нейросети для бизнеса	wordstat_existing
AI_SYSTEMS	P1	search_keyword_cluster	low	ии агент под ключ	28	ии под ключ	wordstat_existing
AI_SYSTEMS	P1	search_keyword_cluster	low	разработка мультиагентных систем	28	мультиагентные системы	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	проектирование и разработка систем искусственного интеллекта	28	разработка искусственного интеллекта	wordstat_existing
INFO	P3	content_or_cpc_minus	low	автоматизация бизнес процессов основы	28	автоматизация бизнес процессов	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	руководитель автоматизации бизнес процессов	28	автоматизация бизнес процессов	wordstat_existing
NEGATIVE	P0	minus_candidate	low	автоматизация бизнес процессы курсы	28	автоматизация бизнес процессов	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	программное обеспечение автоматизации бизнес процессов	28	автоматизация бизнес процессов	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	crm системы автоматизация бизнес процессов	28	автоматизация бизнес процессов	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	нейросеть для оформления документов в ворд	28	нейросеть для документов	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	цифровой двойник сотрудника	28	цифровой сотрудник	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	цифровой профиль сотрудника	28	цифровой сотрудник	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	цифровой след сотрудника	28	цифровой сотрудник	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	just me ai	28	just ai	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	создаем ии сотрудников	28	ии сотрудник	wordstat_extra
HOT_SERVICE	P1	search_keyword_core	low	внедрение ии в бизнес под ключ	27	внедрение ии в бизнес	wordstat_existing
HOT_SERVICE	P1	search_keyword_core	low	внедрение ии агентов в бизнес	27	внедрение ии в бизнес	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	преимущества внедрения искусственного интеллекта	27	внедрение искусственного интеллекта	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	оценка эффективности внедрения искусственного интеллекта	27	внедрение искусственного интеллекта	wordstat_existing
HOT_SERVICE	P1	search_keyword_core	low	внедрение искусственного интеллекта в бизнес практику	27	внедрение искусственного интеллекта	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	ии чаты для бизнеса	27	ии для бизнеса	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	автоматизация бизнес процессов управления предприятием	27	автоматизация бизнес процессов	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	описание бизнес процесс автоматизация	27	автоматизация бизнес процессов	wordstat_existing
ADJACENT_CASE	P2	separate_adjacent_or_rsya	low	эффективность автоматизации документооборота	27	автоматизация документооборота	wordstat_existing
INFO	P3	content_or_cpc_minus	low	обработка персональных данных обезличивание блокирование уничтожение	27	обезличивание данных	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	компании автоматизация складов	27	автоматизация компании	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	автоматизация внутренних процессов компании	27	автоматизация компании	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	автоматизация строительной компании	27	автоматизация компании	wordstat_existing
INFO	P3	content_or_cpc_minus	low	как внедрить ии в компании	27	как внедрить ии в компанию	wordstat_existing
INFO	P3	content_or_cpc_minus	low	примеры ai агентов	27	ai агент	wordstat_extra
BRAND_COMPETITOR	P2	separate_competitor_or_audience	low	ai агенты сбера	27	ai агент	wordstat_extra
AI_SYSTEMS	P1	search_keyword_cluster	low	n8n ai агент	27	ai агент	wordstat_extra
OTHER_REVIEW	P3	manual_review	low	промты для ии бизнес	26	ии для бизнеса	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	ии сервисы для бизнеса	26	ии для бизнеса	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	ии для развития бизнеса	26	ии для бизнеса	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	нейросеть для бизнес плана	26	нейросети для бизнеса	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	нейросети для бизнеса и управленцев	26	нейросети для бизнеса	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	искусственный интеллект и автоматизация бизнес процессов	26	автоматизация бизнес процессов	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	автоматизация бизнес процессов продаж	26	автоматизация бизнес процессов	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	автоматизация бизнес процессов предназначена для	26	автоматизация бизнес процессов	wordstat_existing
INFO	P3	content_or_cpc_minus	low	требования автоматизации бизнес процессов	26	автоматизация бизнес процессов	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	лучшая нейросеть для работы с документами	26	нейросеть для документов	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	компания центр автоматизации	26	автоматизация компании	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	цифровой офис сотрудника рсхб	26	цифровой сотрудник	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	для видео агенты ai	26	ai агент	wordstat_extra
OTHER_REVIEW	P3	manual_review	low	агенты open ai	26	ai агент	wordstat_extra
AI_SYSTEMS	P1	search_keyword_cluster	low	ai агент cloud	26	ai агент	wordstat_extra
AI_SYSTEMS	P1	search_keyword_cluster	low	корпоративный ии ассистент	26	корпоративный ии ассистент	wordstat_extra
OTHER_REVIEW	P3	manual_review	low	ии сокращение сотрудников	26	ии сотрудник	wordstat_extra
INFO	P3	content_or_cpc_minus	low	этапы внедрения искусственного интеллекта	25	внедрение искусственного интеллекта	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	ии для создания бизнес плана	25	ии для бизнеса	wordstat_existing
WARM_CATEGORY	P2	search_keyword_broad_or_rsya	low	создать ии для бизнеса	25	ии для бизнеса	wordstat_existing
AI_SYSTEMS	P1	search_keyword_cluster	low	rag системы от теории к практике	25	rag система	wordstat_existing
ADJACENT_CASE	P2	separate_adjacent_or_rsya	low	интеллект промпт инжиниринг	25	промпт инжиниринг	wordstat_existing
ADJACENT_CASE	P2	separate_adjacent_or_rsya	low	искусственный интеллект промпт инжиниринг	25	промпт инжиниринг	wordstat_existing
INFO	P3	content_or_cpc_minus	low	промпт инжиниринг пример	25	промпт инжиниринг	wordstat_existing
INFO	P3	content_or_cpc_minus	low	промпт инжиниринг примеры промптов	25	промпт инжиниринг	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	автоматизация erp компании	25	автоматизация компании	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	информационные системы для автоматизации компании	25	автоматизация компании	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	автоматизация компаний москва	25	автоматизация компании	wordstat_existing
HOT_SERVICE	P1	search_keyword_core	low	купить ai агента	25	ai агент	wordstat_extra
HOT_SERVICE	P1	search_keyword_core	low	настройка ai агентов	25	ai агент	wordstat_extra
OTHER_REVIEW	P3	manual_review	low	ии дороже сотрудников	25	ии сотрудник	wordstat_extra
INDUSTRY_OTHER	P2	separate_vertical_test	low	внедрение искусственного интеллекта в банки	24	внедрение искусственного интеллекта	wordstat_existing
INDUSTRY_OTHER	P2	separate_vertical_test	low	внедрение технологий искусственного интеллекта в образование	24	внедрение искусственного интеллекта	wordstat_existing
ADJACENT_CASE	P2	separate_adjacent_or_rsya	low	ии чат бот для бизнеса	24	ии для бизнеса	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	ии контент для бизнеса	24	ии для бизнеса	wordstat_existing
INFO	P3	content_or_cpc_minus	low	ии для бизнеса 2025	24	ии для бизнеса	wordstat_existing
INFO	P3	content_or_cpc_minus	low	лучшие нейросети для разработки	24	разработка нейросетей	wordstat_existing
OTHER_REVIEW	P3	manual_review	low	средства разработки искусственного интеллекта	24	разработка искусственного интеллекта	wordstat_existing
SECURITY_PRIVACY	P1	keyword_and_ad_message	low	порядок обезличивания персональных данных	24	обезличивание данных	wordstat_existing
HOT_SERVICE	P1	search_keyword_core	low	стоимость разработки чат бота	24	разработка чат ботов	wordstat_existing
